id,name,email1,email2,tel1,tel2,charge
1,Dinplal Embalagens,pedidos@dinplal.com.br,,(11) 96900-2389,,0.13
2,Dadupel,dadupel@dadupel.com.br,eduardo@dadupel.com.br,(11) 97542-1478,,0.15
3,Artpacks,vendas1@artpacks.com.br,,(11) 96201-3790,(11) 4646-8900,0.15
4,Dannpacks,daniel.aminger@hotmail.com,,(11) 97474-1302,,0.15
5,Gr embalagens,gr@embalagens.com.br,,(22) 99831-6842,(22) 2764-1570,0.16
6,Incofitas,incofitas@incofitas.com.br,,(11) 4787-0155,,0.14
7,kagipel,angela@kagipel.com.br,fernandokagipel@gmail.com,(11) 3966-3733,(11) 94743-0306,0.14
8,Master grafica,master.grafica@terra.com.br,,(11) 3909-8458,(11) 3906-9098,0.15
9,MK papéis,mkpapeis@terra.com.br,,(11) 97591-6465,,0.18
10,Nefab,william.bueno@nefab.com,,(12) 99636-6412,,0.16
11,Poliem,junior@poliem.com.br,simone@poliem.com.br,(11) 98267-8085,,0.15
12,Polypetro,financeiro@polypetro.com.br,polypetro@polypetro.com.br,(12) 97407-9138,(12) 98111-2552,0.14
14,Valipel,saulo@valipel.com.br,,(12) 98159-9438,(12) 3622-8813,0.16
15,Vila pack,luciano@grupoextrusa.com.br,gisele@grupoextrusa.com.br,(11) 96361-3398,,0.15
16,CB Plastic,cleo.embalagens@gmail.com,cbplastic1@gmail.com,(18) 3621-9151,(18) 99786-7366,0.15
17,Romapack,thamires@grupoextrusa.com,,(11) 98865-9800,,0.14
18,Wilson,embalagenscatarina@uol.com.br,,(11) 99606-5586,,0.16
19,PLASTOIL,felipe@plastoil.com.br,celio@platoil.com.br,(11) 99687-0026,,0.15
20,HANAI,patriciaf2771@gmail.com,,(11) 99382-1904,,0.12
21,Alternancy,alternancy@alternancy.com,,(11) 99961-0901,,0.15
22,SANTA CRUZ,QUALIDADE@PARAFINASANTACRUZ.COM.BR,,(11) 98630-5270,,0.15
23,Conslix,conslix@conslix.com.br,,(11) 99290-5012,,0.18
24,JE PEL (JOÃO),jepel@uol.com.br,,(11) 94021-1909,,0.16
25,PIPAS RAIO DE SOL,isabelabenites@uol.com.br,,(11) 98724-6874,,0.18
26,CASTELINHO,castelinhoembalagens@uol.com.br,,(15) 99784-1435,,0.18
27,ARAKEN,izaribeiro@araken.com.br,,(11) 97337-3944,,0.15
